,A new system has been ordered to replace the existing national dispatching,Abstract,Accession Number,Alternate Journal,An application of the framework disaggregates 2030 NO emissions from a national electricity model in an eight-state region under two climate scenarios,Author,Author Address,Cited References Count,DOI,Date,ISSN,Issue,Journal,Keywords,Keywords_01,Keywords_02,Keywords_03,Keywords_04,Keywords_05,Keywords_06,Keywords_07,Keywords_08,Keywords_09,Keywords_10,Keywords_11,Keywords_12,Keywords_13,Keywords_14,Keywords_15,Keywords_16,Keywords_17,Keywords_18,Keywords_19,Keywords_20,Keywords_21,Keywords_22,Keywords_23,Keywords_24,Keywords_25,Keywords_26,Keywords_27,Keywords_28,Keywords_29,Keywords_30,Keywords_31,Keywords_32,Keywords_33,Keywords_34,Keywords_35,Keywords_36,Language,Learning trends are demonstrated for power restoration of,Many of the developed expert systems will be maintained or modified by utility engineers. This study proposes a methodology for maintaining rule-based expert systems. The following capabilities are incorporated,Notes,Our conclusions are the following,Pages,Record Number,Reference Type,Results using the proposed cumulant method are compared against results from Monte Carlo simulations (MCSs) based on a small test system. The Numerical Results section is broken into two sections,SIDE creates the single-line diagram and the general electric specifications. This process is guided by two techniques,Short Title,The Adams method is applied to the differential state variables,The algorithm is tested in two systems,The analysis and the procedure developed are tested on two systems,The constraints on emissions will be implemented by an allowance program,The new VBRP process is based on transmission system reliability evaluation and includes the following important elements,The new index was rigorously tested on different test systems. The results were obtained on a static two-bus test system and on the dynamic Belgian-French 32-bus test system that includes full dynamic models of all power-system components crucial to the voltage instability analysis. The results show advantages of the proposed index,The new simulator features,The optimal hydro scheduling problem is formulated as a large scale linear programming algorithm and is solved using a commercially-available linear programming package. The selected objective function requires minimization of the value of energy used by turbines and spilled during the study period.  Alternative formulations of the objective function are also discussed.  The system model incorporates the following elements,The proposed approach has been successfully tested on two power systems,The proposed infrastructure uses modern intelligent electronic devices (IEDs) named universal monitoring protection and control units (UMPCUs) that are capable of handling three key data sets for the component that they are attached to,The proposed procedure reduces the complexity by formulating the problem as a complementarity problem. A discussion is offered then on the specific problem of droop formulation,The proposed technique utilizes a combination of forecasts from several load forecasting models (sub-models). The parameter estimation may thus be split into two parts,The short note paper addresses new and evolving requirements placed on control center databases. Among the issues addressed are,The validity and effectiveness of the algorithm is verified by means of two examples,These algorithms have been designed by,This algorithm is applied to an important operational planning problem,This comparison demonstrates both theoretically and through simulation that,This paper addresses,This paper highlights the alternative to spilling wind to provide frequency response capability,This paper presents a multiobjective decision support model which allows the consideration of the main concerns that have an important role in LM,This system has the following features,Times Cited,Title,To this model we apply variable splitting and Lagrange relaxation to decompose the problem into one subproblem for the hydrological constraints and one subproblem for each hydro plant. In order to find feasible solutions we use a combination of network programming and heuristic search. The dual,Type 1,Type 2,URL,Volume,We found five aspects causing start-up costs,We propose a model composed of three elements,Year,probability,University,Country
3846,,"The problem of exchanging data between two or more organizations in a format that is accessible and understandable by each is a universal problem. Furthermore, the problem of translating or accessing data in the correct format for applications using proprietary data formats is challenging. Legacy software applications may endure, for some time given, regulatory expenditure pressures on electricity system operators and these require data translators (importer/exporter) and access facilities. The basis of this paper is that the Electric Power Research Institute (EPRI) common information model (CIM) in eXtensible Markup Language (XML) represents the first stage in a revolution of data exchange and manipulation for power systems. This paper explores the problem of translating data in the CIM XML format to the required format for such legacy power system analysis applications. This paper discusses solutions to some of the challenges in data translation, and illustrates how these solutions can be implemented.",WOS:000188951000031,Ieee T Power Syst,,"McMorran, A. W., Ault, G. W., Elders, I. M., Foote, C. E. T., Burt, G. M. and McDonald, J. R.","Univ Strathclyde, Glasgow G1 1XW, Lanark, Scotland",10,10.1109/Tpwrs.2003.820691,Feb,0885-8950,1,Ieee Transactions on Power Systems,cim xml,power system data translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,773XN,,229-235,9567,Journal Article,,,Translating CIM XML power system data to a proprietary format for system simulation,,,,,,,,,,,,,,,,,,,,,,30,Translating CIM XML power system data to a proprietary format for system simulation,,,,<Go to ISI>://WOS:000188951000031,19,,,2004,,Univ Strathclyde,Scotland
3945,,"Limiting the emissions of greenhouse gases from power generation will depend, among other things, on the continuing and increased use of hydroelectric power. However, climate change itself may alter rainfall patterns, adversely affecting the financial viability of existing and potential hydro schemes. Previous work developed a methodology for quantifying the potential impact of climate change on the economics of hydropower schemes. Here, the analysis is extended to examine the potential for changes in project risk. A case study is presented that indicates that the applied climate change scenarios alter not only the mean financial performance of the scheme but also the financial risk facing it. Given that investors must balance project risk and reward, this finding has implications for the future provision of hydropower.",WOS:000186590300013,Ieee T Power Syst,,"Harrison, G. P., Whittington, H. W. and Wallace, A. R.","Univ Edinburgh, Sch Engn & Elect, Edinburgh EH9 1NP, Midlothian, Scotland",14,10.1109/Tpwrs.2003.818590,Nov,0885-8950,4,Ieee Transactions on Power Systems,finance,hydroelectric power generation,hydrology,meteorology,risk analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,743TU,,1324-1330,9666,Journal Article,,,Climate change impacts on financial risk in hydropower projects,,,,,,,,,,,,,,,,,,,,,,10,Climate change impacts on financial risk in hydropower projects,,,,<Go to ISI>://WOS:000186590300013,18,,,2003,,Univ Edinburgh,Scotland
4032,,"Protection engineers use data from a range of monitoring devices to perform post-fault disturbance diagnosis. In the past, heterogeneous intelligent systems have been developed to interpret the data and provide information to engineers to assist with. the disturbance diagnosis task. The majority (if these systems remain standalone due to the problems associated with systems integration. This paper proposes the use of multiagent systems for providing a flexible and scalable alternative to existing integration approaches.",WOS:000182870000031,Ieee T Power Syst,,"Hossack, J. A., Menal, J., McArthur, S. D. J. and McDonald, J. R.","Univ Strathclyde, Inst Energy & Environm, Glasgow, Lanark, Scotland",16,10.1109/Tpwrs.2003.810910,May,0885-8950,2,Ieee Transactions on Power Systems,cooperative systems,decision support systems,fault diagnosis,intelligent systems,knowledge-based systems,power transmission protection,software agents,system,A novel multiagent system (MAS) has been developed entitled t egrates protection engineering diagnostic agents (PEDAs) which in a legacy SCADA interpretation system with new systems for Digital Fault Recorder (DFR) record interpretation and for enhancing fault record retrieval from remote DFRs. The use of MAS technology provides a flexible and scalable architecture open to the introduction of new data interpretation systems. The paper discusses the benefits of a multiagent approach and the design and implementation of PEDA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,678MB,,639-647,9753,Journal Article,,,A multiagent architecture for protection engineering diagnostic assistance,,,,,,,,,,,,,,,,,,,,,,56,A multiagent architecture for protection engineering diagnostic assistance,,,,<Go to ISI>://WOS:000182870000031,18,,,2003,,Univ Strathclyde,Scotland
4065,,This paper describes a software-based toolset which aids the application and development of model-based reasoning systems for validation and diagnosis in power systems applications.,WOS:000182870000036,Ieee T Power Syst,,"Davidson, E. M., McArthur, S. D. J. and McDonald, J. R.","Univ Strathclyde, Inst Energy & Environm, Glasgow, Lanark, Scotland",18,10.1109/Tpwrs.2003.810981,May,0885-8950,2,Ieee Transactions on Power Systems,fault diagnosis,intelligent systems,power system protection,faults,The validation of the operation of. power systems protection equipment using disturbance recorder data is used as an example throughout the paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,678MB,,680-687,9786,Journal Article,,,A toolset for applying model-based reasoning techniques to diagnostics for power systems protection,,,,,,,,,,,,,,,,,,,,,,13,A toolset for applying model-based reasoning techniques to diagnostics for power systems protection,,,,<Go to ISI>://WOS:000182870000036,18,,,2003,,Univ Strathclyde,Scotland
4080,,"Generation of electricity using wind power has received considerable attention worldwide in recent years. In order to investigate the impacts of the integration of wind farm into utilities' network, various windmill models have been developed. One such impact is related to the critical clearing time (CCT) of the wind power based embedded generators (WPBEGs).",WOS:000182870000050,Ieee T Power Syst,,"Salman, S. K. and Teo, A. L. J.","Robert Gordon Univ, Sch Engn, Aberdeen AB10 1FR, Scotland",17,10.1109/Tpwrs.2003.811180,May,0885-8950,2,Ieee Transactions on Power Systems,critical clearing time,distributed generation,distribution network,embedded generation,grid-connected wind farm,integration of embedded generation,protection,shaft modeling,wind farm,wind farm stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,678MB,,793-802,9801,Journal Article,,,Windmill modeling consideration and factors influencing the stability of a grid-connected wind power-based embedded generator,,,,,,,,,,,,,,,,,,,,,,119,Windmill modeling consideration and factors influencing the stability of a grid-connected wind power-based embedded generator,,,,<Go to ISI>://WOS:000182870000050,18,,,2003,,Robert Gordon Univ,Scotland
4451,,"This paper introduces a novel technique for condition monitoring of gas turbine start up sequences, The vast amount of data and the complex processes behind on-line fault detection indicate the need for an automated solution. A multi agent system that views the problem as the interaction of simple independent software entities, for effective use of the available data, is presented. The overall solution is derived from the combination of partial solutions provided by the components of the multi-agent system. As a consequence, data interpretation is achieved by converting the data into appropriate information and combining individual agents' information, resulting in an automatic fault diagnosis for the engineers, This multi-agent system can employ various intelligent system techniques and has been implemented using the ZEUS Agent Building Toolkit.",WOS:000169592700011,Ieee T Power Syst,,"Mangina, E. E., McArthur, S. D. J., McDonald, J. R. and Moyes, A.","Univ Strathclyde, Ctr Elect Power Engn, Glasgow, Lanark, Scotland",12,Doi 10.1109/59.932274,Aug,0885-8950,3,Ieee Transactions on Power Systems,condition monitoring,intelligent agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,447VG,,396-401,10172,Journal Article,,,A multi agent system for monitoring industrial gas turbine start-up sequences,,,,,,,,,,,,,,,,,,,,,,27,A multi agent system for monitoring industrial gas turbine start-up sequences,,,,<Go to ISI>://WOS:000169592700011,16,,,2001,,Univ Strathclyde,Scotland
4549,,"This paper describes a model-based diagnostic system for diagnosing faults in Electrical Transmission Systems (Timely's off-line system). This diagnostic system uses data available from digital fault recorders which are collected after a network event (such as a short circuit) has occurred. The data are used to detect incipient faults in network equipment by comparing their operation against that predicted by extended finite state automaton known as Augmented Reactive Models (ARM),",WOS:000166738400031,Ieee T Power Syst,,"Chantler, M., Pogliano, P., Aldea, A., Tornielli, G., Wyatt, T. and Jolley, A.","Heriot Watt Univ, Intelligent Syst Lab, Edinburgh EH14 4AS, Midlothian, Scotland",8,Doi 10.1109/59.898117,Nov,0885-8950,4,Ieee Transactions on Power Systems,fault recorder data,high-voltage transmission networks,model-based diagnosis,Thus Timely's off-line system combines signal processing and model based diagnostic techniques to provide a practical model-based system that aids the analysis of the performance of protective equipment after a network event has occurred. In particular its use of data derived directly from fault recorder files (such as voltage and impedance magnitudes) means that the system can diagnose much more subtle faults (e.g. timing related faults).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,398CM,,1388-1393,10270,Journal Article,,,The use of fault-recorder data for diagnosing timing and other related faults in electricity transmission networks,,,,,,,,,,,,,,,,,,,,,,20,The use of fault-recorder data for diagnosing timing and other related faults in electricity transmission networks,,,,<Go to ISI>://WOS:000166738400031,15,,,2000,,Heriot Watt Univ,Scotland
4654,,"This paper describes the results of an investigation concerning the idea of modifying/relaxing the Newton-type transient load flow algorithms, implemented to achieve computationally more efficient load flow solutions in the transient security studies. Relaxing the coupling between MW and MVAr transient flows, and also the coupling between V and theta in the Jacobian matrix, including the complete decoupling, is studied. The algorithms were tested on the IEEE 18- and 68-node systems, showing improvements in computation speed and convergence and memory characteristics.",WOS:000089233700036,Ieee T Power Syst,,"Jovanovic, S.","Univ Strathclyde, Royal Coll, Dept EEE, Glasgow G1 1XW, Lanark, Scotland",10,Doi 10.1109/59.867161,May,0885-8950,2,Ieee Transactions on Power Systems,jacobian matrix,p/q coupling,security analysis,stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,352TJ,,694-699,10375,Journal Article,,,Semi-Newton load flow algorithms in transient security simulations,,,,,,,,,,,,,,,,,,,,,,2,Semi-Newton load flow algorithms in transient security simulations,,,,<Go to ISI>://WOS:000089233700036,15,,,2000,,Univ Strathclyde,Scotland
4732,,"A new and comprehensive load flow model for the Unified Power Flow Controller (UPFC) is presented in this paper, The model is incorporated into an existing Newton-Raphson load flow algorithm. Unlike existing UPFC models available in open literature, it can be set to control active and reactive powers and voltage magnitude in any combination or to control none of them. A set of analytical equations has been derived to provide good UPFC initial conditions. Hence, the algorithm exhibits quadratic or near-quadratic convergence characteristics. Suitable guidelines are suggested for an effective control coordination of two or more UPFCs operating in series or parallel arrangements. Test results are presented which demonstrate the effectiveness of the new model.",WOS:000087916000015,Ieee T Power Syst,,"Fuerte-Esquivel, C. R., Acha, E. and Ambriz-Perez, H.","Univ Glasgow, Dept Elect & Elect Engn, Glasgow G12 8QQ, Lanark, Scotland",11,Doi 10.1109/59.852107,Feb,0885-8950,1,Ieee Transactions on Power Systems,facts,newton-raphson,power flow control,unified power flow controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,329PN,,102-109,10453,Journal Article,,,A comprehensive Newton-Raphson UPFC model for the quadratic power flow solution of practical power networks,,,,,,,,,,,,,,,,,,,,,,77,A comprehensive Newton-Raphson UPFC model for the quadratic power flow solution of practical power networks,,,,<Go to ISI>://WOS:000087916000015,15,,,2000,,Univ Glasgow,Scotland
4736,,"This paper reports on advanced transformer modeling facilities suitable for large-scale optimal power flow studies. The new transformer models are developed from first principles and incorporated into an existing Newton-based optimal power flow computer program for highly robust iterative solutions. A three-winding transformer model with tap ratios in all three windings is shown to be a general case for existing two-winding transformer models and the classic load tap-changing and phase-shifting transformer models. The newly developed transformer models add a great deal to software flexibility and are amenable to more realistic electric energy studies. This is partly due to the transformer models being fitted with complex tap changers in each winding and a nonlinear representation of the magnetizing branch. The three-winding transformer model interfaces easily with reactive power plant models, e.g., static var compensators.",WOS:000087916000043,Ieee T Power Syst,,"Acha, E., Ambriz-Perez, H. and Fuerte-Esquivel, C. R.","Univ Glasgow, Virtual FACTS Res Lab, Dept Elect & Elect Engn, Glasgow G12 8QQ, Lanark, Scotland",14,Doi 10.1109/59.852135,Feb,0885-8950,1,Ieee Transactions on Power Systems,facts,load tap-changing transformers,newton's method,optimal power flows,phase-shifting transformers,algorithm,networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,329PN,,290-298,10457,Journal Article,,,Advanced transformer control modeling in an optimal power flow using Newton's method,,,,,,,,,,,,,,,,,,,,,,9,Advanced transformer control modeling in an optimal power flow using Newton's method,,,,<Go to ISI>://WOS:000087916000043,15,,,2000,,Univ Glasgow,Scotland
4755,,"Advanced load flow models for the static VAR compensator (SVC) are presented in this paper. The models are incorporated into existing load flow (LF) and optimal power flow (OPF) Newton algorithms, Unlike SVC models available in open literature, the new models depart from the generator representation of the SVC and are based instead on the variable shunt susceptance concept. In particular, a SVC model which uses the firing angle as the state variable provides key information for cases when the load flow solution is used to initialize other power system applications, e.g., harmonic analysis, The SVC state variables are combined with the nodal voltage magnitudes and angles of the network in a single frame-of-reference for a unified, iterative solution through Newton methods. Both algorithms, the LF and the OFF exhibit very strong convergence characteristics, regardless of network size and the number of controllable devices. Results are presented which demonstrate the prowess of the new SVC models.",WOS:000087916000019,Ieee T Power Syst,,"Ambriz-Perez, H., Acha, E. and Fuerte-Esquivel, C. R.","Univ Glasgow, Dept Elect & Elect Engn, Glasgow G12 8QQ, Lanark, Scotland",11,Doi 10.1109/59.852111,Feb,0885-8950,1,Ieee Transactions on Power Systems,facts,newton method,off,svc,voltage control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,329PN,,129-136,10476,Journal Article,,,Advanced SVC models for Newton-Raphson load flow and Newton optimal power flow studies,,,,,,,,,,,,,,,,,,,,,,78,Advanced SVC models for Newton-Raphson load flow and Newton optimal power flow studies,,,,<Go to ISI>://WOS:000087916000019,15,,,2000,,Univ Glasgow,Scotland
5088,,This paper proposes a fast real power contingency ranking approach which is based on a pattern recognition technique using a forward-only counterpropagation neural network (CPN). The power system operating state is described by a set of variables which compose the pattern. The corresponding performance indices of various contingencies can then be recognised by a properly trained counterpropagation network. A feature selection method is also employed for reducing the dimensionality of the input patterns. When compared with a full ac load flow the proposed method is more superior and has good pattern recognition ability.,WOS:000076681300010,Ieee T Power Syst,,"Lo, K. L., Peng, L. J., Macqueen, J. F., Ekwue, A. O. and Cheng, D. T. Y.","Univ Strathclyde, Dept Elect & Elect Engn, Glasgow G1 1XW, Lanark, Scotland",18,Doi 10.1109/59.736256,Nov,0885-8950,4,Ieee Transactions on Power Systems,power systems security,contingency ranking,static security assessment,pattern recognition,feature selection,neural networks,counterpropagation network,static-security assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,133HN,,1259-1264,10809,Journal Article,,,Fast real power contingency ranking using a counterpropagation network,,,,,,,,,,,,,,,,,,,,,,33,Fast real power contingency ranking using a counterpropagation network,,,,<Go to ISI>://WOS:000076681300010,13,,,1998,,Univ Strathclyde,Scotland
5196,,This paper presents the methodology used in the development of a new generation of soft ware suitable for the analysis and control of large-scale power networks containing FACTS-controlled branches. A Newton-Raphson load flow is used in this paper to emphasise the benefits and drawbacks introduced by the Object Oriented Technology when applied to 'number-crunching' power engineering solutions. The Newton-Raphson algorithm exhibits quadratic convergence far cases with FACTS-Controlled branches. Full details of the prowess of this algorithm are given in a companion paper. C++ has been used to develop compact and easy-to-maintain power systems conventional sparsity software. To aid portability the software has been developed under the UNIX(TM) environment.,WOS:000073212600032,Ieee T Power Syst,,"Fuerte-Esquivel, C. R., Acha, E., Tan, S. G. and Rico, J. J.","Univ Glasgow, Dept Elect & Elect Engn, Glasgow G12 8QQ, Lanark, Scotland",15,Doi 10.1109/59.667370,May,0885-8950,2,Ieee Transactions on Power Systems,oop,load flows,sparsity facts,flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Zj409,,464-470,10917,Journal Article,,,Efficient object oriented power systems software for the analysis of large-scale networks containing FACTS-controlled branches,,,,,,,,,,,,,,,,,,,,,,40,Efficient object oriented power systems software for the analysis of large-scale networks containing FACTS-controlled branches,,,,<Go to ISI>://WOS:000073212600032,13,,,1998,,Univ Glasgow,Scotland
5315,,The European power systems are in the process of a new orientation which will facilitate and promote exchange of electric pou er between Eastern and Western European nations. One such example is the 4 GW HVDC link from Russia to Germany where a 1 GW converter station has been proposed for central Poland.,WOS:000071744600029,Ieee T Power Syst,,"Hammons, T. J., Lim, C. K., Lim, Y. P. and Kacejko, P.","Univ Glasgow, Glasgow G12 8QQ, Lanark, Scotland",3,Doi 10.1109/59.651635,Feb,0885-8950,1,Ieee Transactions on Power Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Yu691,,190-196,11036,Journal Article,,,Proposed 4 GW Russia-Germany link - Impact of 1 GW inverter station on torsional stressing of generators in Poland,,,,,,,,,,,,,,,,,,,,,,9,Proposed 4 GW Russia-Germany link - Impact of 1 GW inverter station on torsional stressing of generators in Poland,,,,<Go to ISI>://WOS:000071744600029,13,,,1998,,Univ Glasgow,Scotland
5781,,"The phenomenon of sympathetic interaction between transformers, which is very likely to occur when a transformer is energised onto a system to which there are other transformers already connected, changes significantly the duration and the magnitude of the transient magnetising currents in the transformers involved. This phenomenon is discussed in the paper, with the harmonic content of the transient currents and its associated overvoltages being analysed. It is shown the importance of taking into consideration the saturation characteristics of the transformers already in operation when studying transformer transient inrush.",WOS:A1996VV92500067,Ieee T Power Syst,,"Bronzeado, H. S., Brogan, P. B. and Yacamini, R.","Univ Aberdeen,Dept Engn,Aberdeen Ab9 2ue,Scotland",10,Doi 10.1109/59.544684,Nov,0885-8950,4,Ieee Transactions on Power Systems,transformer inrush,temporary harmonic overvoltages,sympathetic interaction,power system harmonics,inrush current,overvoltages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Vv925,,2051-2056,11502,Journal Article,,,Harmonic analysis of transient currents during sympathetic interaction,,,,,,,,,,,,,,,,,,,,,,33,Harmonic analysis of transient currents during sympathetic interaction,,,,<Go to ISI>://WOS:A1996VV92500067,11,,,1996,,Univ Aberdeen,Scotland
7455,,"In this paper, a Recursive Measurement Error Estimation Identification algorithm has been proposed for identifying multiple interacting bad data in power system static state estimation.  A set of linearized formulae have been developed and used to recursively calculate normalized residuals and normalized measurement error estimates upon which the bad data identification method is based.  Sparse vector and partial factor modification techniques have been made full use of in the recursive identification calculations.  Neither W(ss) nor state re-estimation is needed in the whole identification process.  Digital tests on various power systems including a 171 bus real system have been done to show the validity and efficiency of the proposed bad data identification method.",WOS:A1991EW60900024,Ieee T Power Syst,,"Zhang, B. M. and Lo, K. L.","Univ Strathclyde,Dept Elect & Elect Engn,Glasgow G1 1xw,Scotland",10,Doi 10.1109/59.131062,Feb,0885-8950,1,Ieee Transactions on Power Systems,power system,state estimation,bad data identification,recursive algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Ew609,,191-198,13176,Journal Article,,,A Recursive Measurement Error Estimation Identification Method for Bad Data-Analysis in Power-System State Estimation,,,,,,,,,,,,,,,,,,,,,,21,A Recursive Measurement Error Estimation Identification Method for Bad Data-Analysis in Power-System State Estimation,,,,<Go to ISI>://WOS:A1991EW60900024,6,,,1991,,Univ Strathclyde,Scotland
7547,,,WOS:A1990EG42300045,Ieee T Power Syst,,"Hammons, T. J. and Stevenson, A. S.","S Scotland Elect Board,Glasgow G44 4be,Scotland",4,Doi 10.1109/59.99394,Nov,0885-8950,4,Ieee Transactions on Power Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Eg423,,1413-1419,13268,Journal Article,,,Teaching Fault Studies Using Symmetrical Components,,,,,,,,,,,,,,,,,,,,,,2,Teaching Fault Studies Using Symmetrical Components,,,,<Go to ISI>://WOS:A1990EG42300045,5,,,1990,,S Scotland Elect Board,Scotland
8456,,"Domestic energy usage patterns can be reduced to a series of classifications for power system analysis or operational purposes, generalizing household behavior into particular load profiles without noise induced variability. However, with AMI data transmissions over wireless networks becoming more commonplace data losses can inhibit classification negating the benefits to the operation of the power system as a whole. Here, an approach allowing incomplete load profiles to be classified while maintaining less than a 10% classification error with up to 20% of the data missing is presented.",WOS:000379696800018,Ieee T Smart Grid,,"Harvey, P. R., Stephen, B. and Galloway, S.","Univ Strathclyde, Glasgow G1 1XW, Lanark, Scotland",7,10.1109/Tsg.2016.2558459,Jul,1949-3053,4,Ieee Transactions on Smart Grid,load modeling,power systems,advanced metering infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Dr1wy,,1944-1945,14177,Journal Article,,,Classification of AMI Residential Load Profiles in the Presence of Missing Data,,,,,,,,,,,,,,,,,,,,,,0,Classification of AMI Residential Load Profiles in the Presence of Missing Data,,,,<Go to ISI>://WOS:000379696800018,7,,,2016,,Univ Strathclyde,Scotland
8484,,"Renewable energy sources such as wind and solar have received much attention in recent years, and large amounts of renewable generation are being integrated into electricity networks. A fundamental challenge in power system operation is to handle the intermittent nature of renewable generation. In this paper, we present a stochastic programming approach to solve a multiperiod optimal power flow problem under renewable generation uncertainty. The proposed approach consists of two stages. In the first stage, operating points of the conventional power plants are determined. The second stage realizes generation from the renewable resources and optimally accommodates it by relying on the demand-side flexibilities. The proposed model is illustrated on a 4-bus and a 39-bus system. Numerical results show that substantial benefits in terms of redispatch costs can be achieved with the help of demand side flexibilities. The proposed approach is tested on the standard IEEE test networks of up to 300 buses and for a wide variety of scenarios for renewable generation.",WOS:000374971000031,Ieee T Smart Grid,,"Bukhsh, W. A., Zhang, C. Y. and Pinson, P.","Univ Strathclyde, Dept Elect & Elect Engn, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",35,10.1109/Tsg.2015.2502723,May,1949-3053,3,Ieee Transactions on Smart Grid,demand response,optimal power flow,power system modeling,linear stochastic programming,smart grids,uncertainty modeling,wind energy,optimal power-flow,stochastic unit commitment,wind power,management,operations,systems,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Dk5pb,,1495-1503,14205,Journal Article,,,An Integrated Multiperiod OPF Model With Demand Response and Renewable Generation Uncertainty,,,,,,,,,,,,,,,,,,,,,,1,An Integrated Multiperiod OPF Model With Demand Response and Renewable Generation Uncertainty,,,,<Go to ISI>://WOS:000374971000031,7,,,2016,,Univ Strathclyde,Scotland
8543,,"A spatio-temporal method for producing very-shortterm parametric probabilistic wind power forecasts at a large number of locations is presented. Smart grids containing tens, or hundreds, of wind generators require skilled very-short-term forecasts to operate effectively and spatial information is highly desirable. In addition, probabilistic forecasts are widely regarded as necessary for optimal power system management as they quantify the uncertainty associated with point forecasts. Here, we work within a parametric framework based on the logit-normal distribution and forecast its parameters. The location parameter for multiple wind farms is modeled as a vector-valued spatio-temporal process and the scale parameter is tracked by modified exponential smoothing. A state-of-the-art technique for fitting sparse vector autoregressive models is employed to model the location parameter and demonstrates numerical advantages over conventional vector autoregressive models. The proposed method is tested on a dataset of 5 min mean wind power generation at 22 wind farms in Australia. Five-min ahead forecasts are produced and evaluated in terms of point, and probabilistic forecast skill scores and calibration. Conventional autoregressive and vector autoregressive models serve as benchmarks.",WOS:000372014900021,Ieee T Smart Grid,,"Dowell, J. and Pinson, P.","Univ Strathclyde, Ctr Doctoral Training, Wind Energy Syst, Glasgow G13 1QQ, Lanark, Scotland",30,10.1109/Tsg.2015.2424078,Mar,1949-3053,2,Ieee Transactions on Smart Grid,power system operations,probabilistic forecasting,renewable energy,wind power,fluctuations,generation,prediction,regression,speed,Dg4bk,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Sp. Iss. SI,,763-770,14264,Journal Article,,,Very-Short-Term Probabilistic Wind Power Forecasts by Sparse Vector Autoregression,,,,,,,,,,,,,,,,,,,,,,3,Very-Short-Term Probabilistic Wind Power Forecasts by Sparse Vector Autoregression,,,,<Go to ISI>://WOS:000372014900021,7,,,2016,,Univ Strathclyde,Scotland
8624,,"A novel technique for loss of mains (LOM) detection using phasor measurement unit (PMU) data is described in this paper. The technique, known as the peak ratio analysis method (PRAM), improves both sensitivity and stability of LOM protection when compared with prevailing techniques. The technique is based on a rate of change of frequency (ROCOF) measurement from M-class PMUs, but the key novelty of the method lies in the fact that it employs a new ""peak-ratio"" analysis of the measured ROCOF waveform during any frequency disturbance to determine whether the potentially-islanded element of the network is grid connected or not. The proposed technique is described and several examples of its operation are compared with three competing LOM protection methods that have all been widely used by industry and/or reported in the literature: standard ROCOF phase offset relay and phase angle difference methods. It is shown that the PRAM technique exhibits comparable performance to the others, and in many cases improves upon their abilities, in particular for systems where the inertia of the main power system is reduced, which may arise in future systems with increased penetrations of renewable generation and high voltage dc (HVDC) infeeds.",WOS:000367299800029,Ieee T Smart Grid,,"Ding, F., Booth, C. D. and Roscoe, A. J.","Univ Strathclyde, Glasgow G1 1XW, Lanark, Scotland",25,10.1109/Tsg.2015.2439512,Jan,1949-3053,1,Ieee Transactions on Smart Grid,control and protection,distribution networks,loss of mains (lom),monitoring,phasor measurement unit (pmu),protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Cz7sh,,291-299,14345,Journal Article,,,Peak-Ratio Analysis Method for Enhancement of LOM Protection Using M-Class PMUs,,,,,,,,,,,,,,,,,,,,,,0,Peak-Ratio Analysis Method for Enhancement of LOM Protection Using M-Class PMUs,,,,<Go to ISI>://WOS:000367299800029,7,,,2016,,Univ Strathclyde,Scotland
