,Abstract,Accession Number,Alternate Journal,Author,Author Address,Cited References Count,DOI,Date,ISSN,Issue,Journal,Keywords,Keywords_01,Keywords_02,Keywords_03,Keywords_04,Keywords_05,Keywords_06,Keywords_07,Keywords_08,Keywords_09,Keywords_10,Keywords_11,Keywords_12,Keywords_13,Keywords_14,Keywords_15,Keywords_16,Keywords_17,Keywords_18,Language,Notes,Pages,Record Number,Reference Type,Short Title,Times Cited,Title,URL,Volume,Year
923,"This paper presents a study of emission-concerned wind-electric vehicle (EV) coordination on the transmission grid side. An aggregator model representing a cluster of controllable EVs is proposed, and is coordinated with large-scale wind power on the transmission side. Using these EV aggregators, a conceptual framework is developed for wind-EV coordination, based on a three-level hierarchy. At the top level, the control center determines the optimal plant outputs and EV charging strategies from the proposed wind-EV dispatch model, where emission costs, thermal plant generation, controllable EVs, and CO2 capture power plants are taken into account and set as multi-objectives. The time-varying number of EV connections, plant ramp rate limits, and network constraints, including interface and branch transmission capacities, are also considered in the model. The model is used to verify the benefits of wind-EV coordination in an IEEE 14-bus system. Compared with uncoordinated charging, wind curtailment, emissions, total optimized cost, and EV charging fees are all greatly reduced by coordination. Moreover, interface transmission capacity and discharging price are found to be important factors in coordination, and the impacts are investigated.",WOS:000325488200051,Ieee T Smart Grid,"Li, Z. H., Guo, Q. L., Sun, H. B., Wang, Y. and Xin, S. J.","Tsinghua Univ, Dept Elect Engn, State Key Lab Power Syst, Beijing 100084, Peoples R China",41,10.1109/Tsg.2013.2257888,Sep,1949-3053,3,Ieee Transactions on Smart Grid,carbon emission,electric vehicle,wind-ev coordination,wind farm,renewable energy-sources,plug-in vehicles,power-system,integration,operation,,,,,,,,,,,English,232IX,1692-1704,15084,Journal Article,Emission-Concerned Wind-EV Coordination on the Transmission Grid Side With Network Constraints: Concept and Case Study,13,Emission-Concerned Wind-EV Coordination on the Transmission Grid Side With Network Constraints: Concept and Case Study,<Go to ISI>://WOS:000325488200051,4,2013
924,"Optimal power flow (OPF) is considered for microgrids, with the objective of minimizing either the power distribution losses, or, the cost of power drawn from the substation and supplied by distributed generation (DG) units, while effecting voltage regulation. The microgrid is unbalanced, due to unequal loads in each phase and non-equilateral conductor spacings on the distribution lines. Similar to OPF formulations for balanced systems, the considered OPF problem is nonconvex. Nevertheless, a semidefinite programming (SDP) relaxation technique is advocated to obtain a convex problem solvable in polynomial-time complexity. Enticingly, numerical tests demonstrate the ability of the proposed method to attain the globally optimal solution of the original nonconvex OPF. To ensure scalability with respect to the number of nodes, robustness to isolated communication outages, and data privacy and integrity, the proposed SDP is solved in a distributed fashion by resorting to the alternating direction method of multipliers. The resulting algorithm entails iterative message-passing among groups of consumers and guarantees faster convergence compared to competing alternatives.",WOS:000325488200026,Ieee T Smart Grid,"Dall'Anese, E., Zhu, H. and Giannakis, G. B.","Univ Minnesota, Digital Technol Ctr, Minneapolis, MN 55455 USA",32,10.1109/Tsg.2013.2248175,Sep,1949-3053,3,Ieee Transactions on Smart Grid,distributed optimization,distribution feeders,microgrids,optimal power flow,semidefinite relaxation,distribution networks,optimization,,,,,,,,,,,,,English,232IX,1464-1475,15085,Journal Article,Distributed Optimal Power Flow for Smart Microgrids,67,Distributed Optimal Power Flow for Smart Microgrids,<Go to ISI>://WOS:000325488200026,4,2013
925,"Depending on the capacity, type and location, distributed generation (DG) can have an impact on protection coordination of directional over-current relays for looped distribution systems. In this paper, a new index is proposed, ""protection coordination index"" (PCI), which can serve as an effective measure when planning the protection of meshed distribution systems with DG. A two-phase non-linear programming (NLP) optimization problem is proposed to determine the PCI by optimally calculating variations in the maximum DG penetration level with changes in the protection coordination time interval. Furthermore, the influence of connecting a DG at a certain location on the system PCIs is examined. The presented analysis is tested on the distribution section of the IEEE 14-bus and IEEE 30-bus systems. The PCI can serve as an efficient index for distribution system planners: (i) to determine the best DG candidate locations for utility owned DG and (ii) to evaluate the impact of a customer owned DG, considering distribution system protection.",WOS:000325488200031,Ieee T Smart Grid,"Zeineldin, H. H., Mohamed, Y. A. R. I., Khadkikar, V. and Pandi, V. R.","Masdar Inst Sci & Technol, Abu Dhabi, U Arab Emirates",25,10.1109/Tsg.2013.2263745,Sep,1949-3053,3,Ieee Transactions on Smart Grid,distributed generation,faults,optimization,protection coordination,,,,,,,,,,,,,,,,English,232IX,1523-1532,15086,Journal Article,A Protection Coordination Index for Evaluating Distributed Generation Impacts on Protection for Meshed Distribution Systems,15,A Protection Coordination Index for Evaluating Distributed Generation Impacts on Protection for Meshed Distribution Systems,<Go to ISI>://WOS:000325488200031,4,2013
926,"It is well known that power system operations are often constrained by transmission congestions which reflect the physical restrictions intrinsic to the power system itself. The power market running on top of the system is also constrained by factors such as primary energy, emissions, technical support, as well as multi-player gaming among market participants including regulators. In this paper, we propose a new concept of generalized congestions to describe those factors affecting both the competition level and the efficiency of power markets. Market power is a market participant's capability in influencing market efficiency with the aid of generalized congestions; generalized market power reflects its capability to influence the social welfare. This paper analyzes generalized congestions, market power and generalized market power in many aspects including taxonomy, evaluation indexes, control measures. and the corresponding research methods. Based on the experimental economics method, a research framework is proposed to facilitate comprehensive studies on the influences of generalized congestions on market power.",WOS:000325488200049,Ieee T Smart Grid,"Xue, Y. S., Li, T. R., Yin, X., Dong, Z. Y., Wen, F. S., Huang, J. and Xue, F.","State Grid EPRI, Nanjing, Jiangsu, Peoples R China",30,10.1109/Tsg.2012.2237527,Sep,1949-3053,3,Ieee Transactions on Smart Grid,congestion,market power,power market,regulation,social welfare,stability,electricity markets,bidding strategies,power,,,,,,,,,,,English,232IX,1675-1683,15087,Journal Article,Managements of Generalized Congestions,4,Managements of Generalized Congestions,<Go to ISI>://WOS:000325488200049,4,2013
927,"Several techniques have been proposed for the automatic control of just-in-time heating and cooling systems in indoor spaces that accommodate both the occupants' comfort and energy savings. Current techniques, however, do not provide an adequate solution for efficient thermostat control, because they require costly infrastructures to detect occupancy or because they inaccurately predict the occupancy due to irregular patterns. In this paper, we propose an automatic thermostat control system based on the mobility prediction of users, using contextual information obtained by mobile phones. We also present an arrival time prediction scheme that combines both historical pattern and route classification. The experimental results indicate that the proposed system can successfully predict at least 70% of the transit cases within 10 minutes' error and can decrease energy consumption by 26%.",WOS:000325488200013,Ieee T Smart Grid,"Lee, S., Chon, Y., Kim, Y., Ha, R. and Cha, H.","Yonsei Univ, Dept Comp Engn, Seoul 120749, South Korea",23,10.1109/Tsg.2013.2247072,Sep,1949-3053,3,Ieee Transactions on Smart Grid,hvac,mobility prediction,thermostats,,,,,,,,,,,,,,,,,English,232IX,1332-1340,15088,Journal Article,Occupancy Prediction Algorithms for Thermostat Control Systems Using Mobile Devices,7,Occupancy Prediction Algorithms for Thermostat Control Systems Using Mobile Devices,<Go to ISI>://WOS:000325488200013,4,2013
928,"In this paper, a behavior-rule based intrusion detection system (BRIDS) is proposed for securing head-ends (HEs), distribution access points/data aggregation points (DAPs) and subscriber energy meters (SEMs) of a modern electrical grid in which continuity of operation is of the utmost importance. The impact of attacker behaviors on the effectiveness of a behavior-rule intrusion detection design is investigated. Using HEs, DAPs and SEMs as examples, it is demonstrated that a behavior-rule based intrusion detection technique can effectively trade false positives for a high detection probability to cope with sophisticated and hidden attackers to support ultra safe and secure applications. It is shown that BRIDS outperforms contemporary anomaly-based IDSs via comparative analysis.",WOS:000325488200004,Ieee T Smart Grid,"Mitchell, R. and Chen, I. R.","Virginia Polytech Inst & State Univ, Dept Comp Sci, Falls Church, VA 22043 USA",23,10.1109/Tsg.2013.2258948,Sep,1949-3053,3,Ieee Transactions on Smart Grid,cyber physical systems,data aggregation point,distribution access point,head-end,intrusion detection,safety,security,subscriber energy meter,reliability,,,,,,,,,,,English,232IX,1254-1263,15089,Journal Article,Behavior-Rule Based Intrusion Detection Systems for Safety Critical Smart Grid Applications,16,Behavior-Rule Based Intrusion Detection Systems for Safety Critical Smart Grid Applications,<Go to ISI>://WOS:000325488200004,4,2013
929,"This paper presents a new adaptive control approach to power system secondary voltage control (SVC) problem using synchronized phasor measurements as control feedback. The objective is to improve overall system voltage profile by appropriate management of reactive power sources against any unexpected load disturbances. The proposed method is adaptive in the sense that load disturbances are estimated on-line for computing the feasible control inputs for the minimization of the worst case load voltage deviation. That is, the resulting worst load voltage change can precisely remain within the range of predefined constraint using the feasible control inputs. Moreover, the computational burden of the proposed method is low such that it is suitable for on-line applications. Extensive simulation studies on the IEEE 14-bus and the IEEE 30-bus systems have been conducted to demonstrate the advantages of the proposed method over the traditional robust method.",WOS:000325488200030,Ieee T Smart Grid,"Su, H. Y. and Liu, C. W.","Natl Taiwan Univ, Dept Elect Engn, Taipei 106, Taiwan",25,10.1109/Tsg.2013.2272583,Sep,1949-3053,3,Ieee Transactions on Smart Grid,phasor measurement unit (pmu),power system control,synchronized phasor (synchrophasor) secondary voltage control,consolidated hierarchical system,power-system,selection,,,,,,,,,,,,,,English,232IX,1514-1522,15090,Journal Article,An Adaptive PMU-Based Secondary Voltage Control Scheme,4,An Adaptive PMU-Based Secondary Voltage Control Scheme,<Go to ISI>://WOS:000325488200030,4,2013
930,"Real power injections at loads and generators, and real power flows on selected lines in a transmission network are monitored and transmitted over a SCADA network to the system operator. These are used in state estimation algorithms to make dispatch, re-balance and other energy management system [EMS] decisions. Coordinated cyber attacks on power meter readings can be designed to be undetectable by any bad data detection algorithm. These unobservable attacks present a serious threat to grid operations. Of particular interest are sparse attacks that involve the compromise of a modest number of meter readings. An efficient algorithm to find all unobservable attacks [under standard DC load flow approximations] involving the compromise of exactly two power injection meters and an arbitrary number of power meters on lines is presented. This requires O(n(2)m) flops for a power system with buses and line meters. If all lines are metered, there exist canonical forms that characterize all 3, 4, and 5-sparse unobservable attacks. These can be quickly detected with O(n(2)) flops using standard graph algorithms. Known-secure phasor measurement units [PMUs] can be used as countermeasures against a given collection of cyber attacks. Finding the minimum number of necessary PMUs is NP-hard. It is shown that p + 1 PMUs at carefully chosen buses are sufficient to neutralize a collection of cyber attacks.",WOS:000325488200003,Ieee T Smart Grid,"Giani, A., Bitar, E., Garcia, M., McQueen, M., Khargonekar, P. and Poolla, K.","Los Alamos Natl Lab, Ctr Nonlinear Studies, Los Alamos, NM 87545 USA",35,10.1109/Tsg.2013.2245155,Sep,1949-3053,3,Ieee Transactions on Smart Grid,cybersecurity,integrity attacks,observability,smart grid,synchro-phasors,bad data detection,state estimation,identification,observability,algorithms,placement,security,,,,,,,,English,232IX,1244-1253,15091,Journal Article,Smart Grid Data Integrity Attacks,31,Smart Grid Data Integrity Attacks,<Go to ISI>://WOS:000325488200003,4,2013
931,"Despite the economic and environmental advantages of plug-in hybrid electric vehicles (PHEVs), the increased utilization of PHEVs brings up new concerns for power distribution system decision makers. Impacts of PHEVs on distribution networks, although have been proven to be noticeable, have not been thoroughly investigated for future years. In this paper, a comprehensive model is proposed to study the PHEV impacts on residential distribution systems. In so doing, PHEV fundamental characteristics, i.e., PHEV battery capacity, PHEV state of charge (SOC), and PHEV energy consumption in daily trips, are accurately modeled. As some of these effective characteristics depend on vehicle owner's behavior, their behavior and interests are considered in the proposed model. Also, to get a more practical model of PHEVs, the number of vehicles in a residential distribution network, the PHEV penetration level for upcoming years, distribution of PHEVs in the network, and estimation of household load growth for upcoming years are extracted from related published reports. The proposed model is applied to the IEEE 34-node test feeder, and PHEV impacts on residential distribution network are studied in different time horizons. A sensitivity analysis is also performed to demonstrate the effects of PHEV operation modes on the network load profile.",WOS:000325488200015,Ieee T Smart Grid,"Shafiee, S., Fotuhi-Firuzabad, M. and Rastegar, M.","Sharif Univ Technol, Dept Elect Engn, Ctr Excellence Power Syst Management & Control, Tehran, Iran",31,10.1109/Tsg.2013.2251483,Sep,1949-3053,3,Ieee Transactions on Smart Grid,load growth,phev characteristics,phev impacts,plug-in hybrid electric vehicle (phev),networks,,,,,,,,,,,,,,,English,232IX,1351-1360,15092,Journal Article,Investigating the Impacts of Plug-in Hybrid Electric Vehicles on Power Distribution Systems,44,Investigating the Impacts of Plug-in Hybrid Electric Vehicles on Power Distribution Systems,<Go to ISI>://WOS:000325488200015,4,2013
932,,WOS:000325488200042,Ieee T Smart Grid,"Zhang, X. P., Belmans, R., Kirschen, D., Sun, D., Vaahedi, E. and Xue, Y. S.","Zhang, XP",0,10.1109/Tsg.2013.2278599,Sep,1949-3053,3,Ieee Transactions on Smart Grid,,,,,,,,,,,,,,,,,,,,English,232IX,1619-1620,15093,Journal Article,Introduction to the Special Section on Planning and Operation of Transmission Grid with Applications to Smart Grid-From Concept to Implementation,0,Introduction to the Special Section on Planning and Operation of Transmission Grid with Applications to Smart Grid-From Concept to Implementation,<Go to ISI>://WOS:000325488200042,4,2013
933,"We propose a framework for demand response in smart grids that integrates renewable distributed generators (DGs). In this model, some users have DGs and can generate part of their electricity. They can also sell extra generation to the utility company. The goal is to optimize the load schedule of users to minimize the utility company's cost and user payments, while considering user satisfaction. We employ a parallel autonomous optimization scheme, where each user requires only the knowledge of the aggregated load of other users, instead of the load profiles of individual users. All the users can execute distributed optimization simultaneously. The distributed optimization is coordinated through a soft constraint on changes of load schedules between iterations. Numerical examples show that our method can significantly reduce the peak-hour load and costs to the utility and users. Since the autonomous user optimization is executed in parallel, our method also significantly decreases the computation time and communication costs.",WOS:000325488200023,Ieee T Smart Grid,"Yang, P., Chavali, P., Gilboa, E. and Nehorai, A.","Washington Univ, Preston M Green Dept Elect & Syst Engn, St Louis, MO 63130 USA",25,10.1109/Tsg.2013.2264728,Sep,1949-3053,3,Ieee Transactions on Smart Grid,demand response,distributed generator,load schedule,parallel optimization,demand-side management,,,,,,,,,,,,,,,English,232IX,1431-1441,15094,Journal Article,Parallel Load Schedule Optimization With Renewable Distributed Generators in Smart Grids,15,Parallel Load Schedule Optimization With Renewable Distributed Generators in Smart Grids,<Go to ISI>://WOS:000325488200023,4,2013
934,"The objective trends in electric power systems (EPSs) call for prompter and more adequate response of control systems. New smart measurement, communication and control tools, information and computer technologies can be used to improve EPS controllability. The distinctive features of the Unified Energy System (UES) of Russia are discussed and the current emergency control system is presented in the paper. A modern approach to monitoring, forecasting and control is suggested. Some artificial intelligence applications for development of emergency control in the UES of Russia are presented.",WOS:000325488200055,Ieee T Smart Grid,"Voropai, N. I., Efimov, D. N., Kolosok, I. N., Kurbatsky, V. G., Glazunova, A. M., Korkina, E. S., Osak, A. B., Tomin, N. V. and Panasetsky, D. A.","SB RAS, Energy Syst Inst, Irkutsk, Russia",32,10.1109/Tsg.2013.2251684,Sep,1949-3053,3,Ieee Transactions on Smart Grid,artificial intelligence application,electric power system,emergency control,smart grid concept,,,,,,,,,,,,,,,,English,232IX,1732-1740,15095,Journal Article,Smart Technologies in Emergency Control of Russia's Unified Energy System,2,Smart Technologies in Emergency Control of Russia's Unified Energy System,<Go to ISI>://WOS:000325488200055,4,2013
935,"This paper considers the technical and economical feasibility of the introduction of automated demand response from domestic smart appliances in a European setting as a means to create a significant amount of regulating power. Simplified power-time flexibility models for appliances are introduced on which generic economic simulations can be based. These simulations permit a good indication of the economic value that can be attained as a function of model parameters. This shows that classical load shifting of washing appliances creates sufficient value in the day-ahead market to justify investments in smart energy control services. Cooling appliances create significant value on the balance market and while full scale deployment would lead to significant price erosion in today's market, it could accommodate additional unbalance caused future sustainable generation. The scale of domestic demand response resources can be quantified in two simple parameters: regulation power and storage capacity. For the Dutch situation these are 700 MW, equivalent to 5% of average national power consumption and 5 GWh storage: around 20 minutes of average national power consumption. Smart appliances can deliver a 100% efficient and CO2 friendly complement to the unpredictability of e. g., large scale wind power as planned in large parts of Europe in 10 to 15 years.",WOS:000325488200052,Ieee T Smart Grid,"Vlot, M. C., Knigge, J. D. and HanSlootweg, J. G.","UC Connect, NL-5644 DJ Eindhoven, Netherlands",22,10.1109/Tsg.2013.2257889,Sep,1949-3053,3,Ieee Transactions on Smart Grid,balance power,balance power market,day-ahead market,demand response,domestic appliances,load management,power system economics,smart grid,wind energy,,,,,,,,,,,English,232IX,1705-1712,15096,Journal Article,Economical Regulation Power Through Load Shifting With Smart Energy Appliances,12,Economical Regulation Power Through Load Shifting With Smart Energy Appliances,<Go to ISI>://WOS:000325488200052,4,2013
936,"Increasing energy security and reliability concerns are intensifying the interest in microgrids. In this setting, design optimization is vital to achieve a reliable infrastructure without overbuilding. This paper considers the impact of frequency and voltage regulation on the optimal design of a conceptual, autonomous military microgrid. This microgrid comprises a solar panel and vehicles as power sources, with each vehicle incorporating a battery and generator. The power output and terminal voltage of these inverter-based sources must be regulated. The paper investigates the effects of battery DC voltage variations on a decentralized regulation scheme, and the resulting influence on optimal component sizing. To this end, controllers are first designed based on the typical assumption that the voltage on the DC side of each inverter is constant. The battery internal resistance is then considered and its impact on regulation performance is investigated. The results show that the battery internal resistance can affect the performance of both frequency and voltage regulation, and consequently must be taken into account in component sizing decisions. Thus, the paper identifies an important coupling between regulation and component sizing problems through battery characteristics, and highlights the need for a combined sizing and regulation framework for microgrid design.",WOS:000325488200037,Ieee T Smart Grid,"Ersal, T., Ahn, C., Peters, D. L., Whitefoot, J. W., Mechtenberg, A. R., Hiskens, I. A., Peng, H., Stefanopoulou, A. G., Papalambros, P. Y. and Stein, J. L.","Univ Michigan, Dept Mech Engn, Ann Arbor, MI 48109 USA",38,10.1109/Tsg.2013.2260363,Sep,1949-3053,3,Ieee Transactions on Smart Grid,batteries,frequency control,inverters,microgrids,voltage control,strategies,inverters,operation,,,,,,,,,,,,English,232IX,1576-1585,15097,Journal Article,Coupling Between Component Sizing and Regulation Capability in Microgrids,5,Coupling Between Component Sizing and Regulation Capability in Microgrids,<Go to ISI>://WOS:000325488200037,4,2013
937,"We develop a stochastic energy scheduling model for a local-area smart-grid system with a single energy source and multiple energy consumers. The tasks of the energy consumers are classified into two categories, namely, the stochastic background tasks and the deterministic dynamic tasks. The objective is to schedule the energy consumptions of the dynamic tasks to maximize the expected system utility under the given energy consumption and energy generation constraints. To make this problem tractable, using rolling horizon optimization and Gaussian approximation we transform the original stochastic optimization problem into a convex optimization problem with linear constraints. We then derive a distributed Newton's method to solve this problem, and design a message-passing mechanism for a distributed implementation of the algorithm with limited information exchange between the energy consumers and the energy source. In simulations, the proposed distributed Newton's method converges for the system under consideration, while the traditional dual decomposition method does not converge to a primary feasible solution; and thus it is a powerful practical tool for real-time control of smart-grid systems.",WOS:000325488200027,Ieee T Smart Grid,"Gong, C., Wang, X. D., Xu, W. Q. and Tajer, A.","Qualcomm Inc, Qualcomm Res San Diego, San Diego, CA 92121 USA",18,10.1109/Tsg.2013.2248399,Sep,1949-3053,3,Ieee Transactions on Smart Grid,smart grid,energy scheduling,stochastic model,distributed newton's method,decomposition,,,,,,,,,,,,,,,English,232IX,1476-1489,15098,Journal Article,Distributed Real-Time Energy Scheduling in Smart Grid: Stochastic Model and Fast Optimization,8,Distributed Real-Time Energy Scheduling in Smart Grid: Stochastic Model and Fast Optimization,<Go to ISI>://WOS:000325488200027,4,2013
938,"Hybrid ac/dc multi-terminal micro-grids are gaining high momentum under the smart grid paradigm to integrate renewable and clean energy resources either in the transmission or distribution systems. This paper presents a robust multi-objective controller for the voltage-source-converter (VSC)-based dc-voltage power-port in hybrid ac/dc networks. The proposed controller ensures excellent tracking performance, robust disturbance rejection, and robust stability against operating point and parameter variation with a simple fixed-parameter low-order controller. A two-degree-of-freedom control structure is proposed, where feed-forward tracking and base-line robust disturbance rejection controllers are employed to decouple disturbance rejection and tracking objectives. A disturbance rejection controller is designed, based on the singular-values synthesis approach, to achieve robustness against variation in converter operation point. Further, the effect of parametric uncertainty in the effective dc-link capacitance is mitigated by modifying the robust disturbance rejection controller, via the polynomial method, to ensure that the closed-loop poles are allocated in the pre-defined region in the complex plane even under parameter variation. A theoretical analysis and comparative simulation and experimental results are presented to show the effectiveness of the proposed control structure.",WOS:000325488200039,Ieee T Smart Grid,"Davari, M. and Mohamed, Y. A. R. I.","Univ Alberta, Dept Elect & Comp Engn, Edmonton, AB T6G 2V4, Canada",33,10.1109/Tsg.2013.2249541,Sep,1949-3053,3,Ieee Transactions on Smart Grid,dc-energy pool,dc-link voltage control,hybrid dc/ac networks,micro-grids,robust control,voltage-source converters,mitigation,design,,,,,,,,,,,,English,232IX,1597-1612,15099,Journal Article,Robust Multi-Objective Control of VSC-Based DC-Voltage Power Port in Hybrid AC/DC Multi-Terminal Micro-Grids,9,Robust Multi-Objective Control of VSC-Based DC-Voltage Power Port in Hybrid AC/DC Multi-Terminal Micro-Grids,<Go to ISI>://WOS:000325488200039,4,2013
939,"Smart grid can be defined as a modern electric power grid infrastructure for improved efficiency, reliability and safety, with smooth integration of renewable and alternative energy sources through automated control and modern communications technologies. The increase need for more effective power electrical systems control turned the development of smart grids, the main object of study formany researchers. This paper proposes a digital system for condition monitoring, diagnosis and supervisory control applied to smart grids. The system is based on hybrid network architecture (HNA), consisting of a wired infrastructure, a wireless sensor network (WSN), a power line communications (PLC) and a controller area network (CAN). The system is based on three hardware topologies: remote data acquisition units (RDAUs), intelligent sensors modules (ISMs) and a PLC modem. The basic characteristics are: a) easy/low cost implementation, b) easy to set up by user, c) easy implementation of redundant routines (security), d) portability/versatility, and e) open system. To validate the developed system, it was implanted in one underground electric substation power distribution, characterized as an extremely hostile environment for supervisory control applications. In this application, the main challenge is to establish a communication system installed inside the substation with the outside (operations center-OC) considering that there are not commercial solutions appropriate to solve completely this problem.",WOS:000325488200044,Ieee T Smart Grid,"Salvadori, F., Gehrke, C. S., de Oliveira, A. C., de Campos, M. and Sausen, P. S.","Univ Fed Paraiba, BR-58051900 Joao Pessoa, Paraiba, Brazil",19,10.1109/Tsg.2013.2265264,Sep,1949-3053,3,Ieee Transactions on Smart Grid,architecture,communication systems,hybrid network,monitoring,power distribution,smart grids,,,,,,,,,,,,,,English,232IX,1630-1639,15100,Journal Article,Smart Grid Infrastructure Using a Hybrid Network Architecture,15,Smart Grid Infrastructure Using a Hybrid Network Architecture,<Go to ISI>://WOS:000325488200044,4,2013
940,"In this paper, an integrated vehicle-to-grid, grid-to-vehicle, and renewable energy sources (IntVGR) coordination algorithm is proposed. The focus of this work is to provide a multidisciplinary study on implementing the proposed IntVGR scheme over a broadband fiber-wireless communications infrastructure by co-simulating both power and communications perspectives. For the power systems perspective, results show that the scheme is able to achieve a 21% reduction in peak demand compared to uncontrolled charging, and a better performance in flattening the overall demand profile and maintaining network constraints in comparison to a benchmark scenario. The scheme has also been demonstrated to successfully coordinate PEVs to take maximum utilization of local renewable energy. For the communications perspective, the measured upstream traffic for executing the proposed IntVGR scheme on a residential area of 342 households is found to be 1-2 Mbps with an end-to-end latency level of 1 ms. The scheme has also been validated from both perspectives in a sensitivity analysis with a higher PEV adoption rate.",WOS:000325488200018,Ieee T Smart Grid,"Xu, D. Q., Joos, G., Levesque, M. and Maier, M.","McGill Univ, Montreal, PQ H2X2E3, Canada",28,10.1109/Tsg.2013.2253337,Sep,1949-3053,3,Ieee Transactions on Smart Grid,co-simulation,demand side management,plug-in electric vehicles,smart grid communications,electric vehicles,,,,,,,,,,,,,,,English,232IX,1381-1390,15101,Journal Article,"Integrated V2G, G2V, and Renewable Energy Sources Coordination Over a Converged Fiber-Wireless Broadband Access Network",12,"Integrated V2G, G2V, and Renewable Energy Sources Coordination Over a Converged Fiber-Wireless Broadband Access Network",<Go to ISI>://WOS:000325488200018,4,2013
941,"PJM Interconnection operates the largest synchronized transmission system in North America, where one of the great challenges is being able to meet the system-wide voltage control performance requirements both pre-and post-contingency. Based on a characteristic analysis of the contingencies distribution, a practical method using an iteration scheme between the optimal power flow (OPF) and a contingency assessment (CA) is proposed to develop a control strategy, so that the calculated optimal voltage schedule solutions are better not only for pre-contingency system conditions, also for the post-contingency (N - 1) system conditions. At step T, a CA considering all contingencies is carried out and those that may lead to the maximized voltage violations are saved as active contingencies for step T + 1. At the same time, another CA, considering only the current active contingencies, is computed in parallel using a trial OPF result as input. According to the post-contingency indices, the new voltage constraints will be compressed and the final OPF is called again to calculate the optimal strategies. The detailed architecture of the PJM optimal voltage control (OVC) system is presented in this paper. The system has completed four-months of online operation, and the results have been evaluated using third-party software. It has been proven that the OVC system presented here will greatly improve both the pre-and post-contingency performance. The PJM OVC is a typical application of a smart transmission grid. Phase III of this study is currently under way.",WOS:000325488200048,Ieee T Smart Grid,"Guo, Q. L., Sun, H. B., Zhang, M. Y., Tong, J. Z., Zhang, B. M. and Wang, B.","Tsinghua Univ, Dept Elect Engn, State Key Lab Power Syst, Beijing 100084, Peoples R China",16,10.1109/Tsg.2013.2256938,Sep,1949-3053,3,Ieee Transactions on Smart Grid,contingency assessment,optimal power flow,optimal voltage control,smart transmission grid,consolidated hierarchical system,france,,,,,,,,,,,,,,English,232IX,1665-1674,15102,Journal Article,"Optimal Voltage Control of PJM Smart Transmission Grid: Study, Implementation, and Evaluation",8,"Optimal Voltage Control of PJM Smart Transmission Grid: Study, Implementation, and Evaluation",<Go to ISI>://WOS:000325488200048,4,2013
942,"This paper presents a technique to extract load signatures non-intrusively by using the smart meter data. Load signature extraction is different from load activity identification. It is a new and important problem to solve for the applications of non-intrusive load monitoring (NILM). For a target appliance whose signatures are to be extracted, the proposed technique first selects the candidate events that are likely to be associated with the appliance by using generic signatures and an event filtration step. It then applies a clustering algorithm to identify the authentic events of this appliance. In the third step, the operation cycles of appliances are estimated using an association algorithm. Finally, the electric signatures are extracted from these operation cycles. The results can have various applications. One is to create signature databases for the NILM applications. Another is for load condition monitoring. Validation results based on the data collected from three actual houses and a laboratory experiment have shown that the proposed method is a promising solution to the problem of load signature collection.",WOS:000325488200022,Ieee T Smart Grid,"Dong, M., Meira, P. C. M., Xu, W. and Chung, C. Y.","Univ Alberta, Dept Elect & Comp Engn, Edmonton, AB T6G 2V4, Canada",21,10.1109/Tsg.2013.2245926,Sep,1949-3053,3,Ieee Transactions on Smart Grid,clustering,data mining,load signature,non-intrusive load monitoring,mean shift,recognition,,,,,,,,,,,,,,English,232IX,1421-1430,15103,Journal Article,Non-Intrusive Signature Extraction for Major Residential Loads,14,Non-Intrusive Signature Extraction for Major Residential Loads,<Go to ISI>://WOS:000325488200022,4,2013
943,"Modern smart grids, by and large, merge physical interconnections and cyber controllers. Invariably, this tight coupling results in cyber commands manifesting in the physical layer as observable changes, leading to possible disclosure of sensitive system settings. Thus, cyber event confidentiality of the smart grid is violated. Attacks on confidentiality can ultimately lead to integrity and availability attacks; with adequate knowledge of the system topology, internal settings, and how the physical layer responds to cyber commands, a malicious adversary gains knowledge to attack the system. This work shows how to develop self-obfuscating systems based on information flow security properties that can mitigate event confidentiality violations in smart grids.",WOS:000325488200001,Ieee T Smart Grid,"Gamage, T. T., Roth, T. P., McMillin, B. M. and Crow, M. L.","Missouri Univ Sci & Technol, Rolla, MO 65409 USA",13,10.1109/Tsg.2013.2243924,Sep,1949-3053,3,Ieee Transactions on Smart Grid,cyber-physical systems,distributed control,distributed detection,logic,power system protection,power system security,security,,,,,,,,,,,,,English,232IX,1227-1234,15104,Journal Article,Mitigating Event Confidentiality Violations in Smart Grids: An Information Flow Security-Based Approach,1,Mitigating Event Confidentiality Violations in Smart Grids: An Information Flow Security-Based Approach,<Go to ISI>://WOS:000325488200001,4,2013
